t,omega_R,omega_L,u,omega
27.3117,2.1771,2.2489,0.22130000000000002,-0.01795000000000002
27.4118,2.1076,2.179,0.21433000000000002,-0.01784999999999992
27.5124,2.0392,2.1106,0.20749,-0.01784999999999992
27.6112,1.972,2.0439,0.20079500000000003,-0.017974999999999963
27.711,1.9062,1.9787,0.194245,-0.018125000000000002
27.8109,1.8419,1.9151,0.18785000000000002,-0.018299999999999983
27.9111,1.779,1.853,0.18159999999999998,-0.018500000000000016
28.0113,1.7177,1.7924,0.17550500000000002,-0.018674999999999997
28.1111,1.658,1.7334,0.16957,-0.018850000000000033
28.2118,1.5998,1.676,0.16379000000000002,-0.019049999999999956
28.3109,1.5433,1.6201,0.15817000000000003,-0.01920000000000005
28.4111,1.4884,1.5657,0.152705,-0.019325000000000037
28.5117,1.4351,1.5129,0.1474,-0.019449999999999967
28.6114,1.3833,1.4615,0.14224,-0.019550000000000012
28.7109,1.3332,1.4117,0.137245,-0.019625
28.8112,1.2846,1.3634,0.1324,-0.019699999999999995
28.9109,1.2376,1.3165,0.127705,-0.019724999999999993
29.0118,1.1921,1.2711,0.12315999999999999,-0.019749999999999986
29.1111,1.1481,1.2271,0.11876,-0.019750000000000045
29.2108,1.1055,1.1845,0.1145,-0.019750000000000045
29.3111,1.0643,1.1433,0.11038000000000002,-0.019749999999999986
29.4106,1.0246,1.1034,0.10640000000000001,-0.019699999999999995
29.5116,0.9862,1.0648,0.10255000000000002,-0.01965
29.6114,0.9491,1.0275,0.09883000000000002,-0.019600000000000006
29.7112,0.9133,0.9914,0.09523500000000001,-0.019524999999999987
29.8117,0.8788,0.9565,0.09176500000000001,-0.019424999999999998
29.9109,0.8455,0.9228,0.08841500000000001,-0.01932499999999998
30.0109,0.8134,0.8903,0.08518500000000001,-0.019224999999999992
30.1108,0.7824,0.8588,0.08206000000000001,-0.019100000000000006
30.2123,0.7525,0.8285,0.07905000000000001,-0.019000000000000017
30.3116,0.7238,0.7992,0.07615000000000001,-0.018850000000000006
30.4114,0.696,0.7709,0.073345,-0.01872500000000002
30.5111,0.6693,0.7436,0.070645,-0.018575000000000008
30.6108,0.6436,0.7173,0.06804500000000001,-0.018425000000000025
30.7113,0.6188,0.6919,0.065535,-0.018274999999999986
30.8109,0.5949,0.6674,0.063115,-0.018125000000000002
30.9147,0.5719,0.6437,0.06078,-0.01795000000000002
31.011,0.5498,0.6209,0.058535000000000004,-0.017775000000000013
31.111,0.5284,0.5989,0.056365,-0.017625000000000002
31.2146,0.5079,0.5777,0.054279999999999995,-0.017449999999999993
31.3184,0.4882,0.5572,0.05227000000000001,-0.01725
31.4172,0.4692,0.5375,0.050335,-0.017074999999999993
31.512,0.4509,0.5185,0.048470000000000006,-0.016899999999999984
31.6169,0.4333,0.5001,0.04667,-0.016699999999999993
31.7119,0.4164,0.4825,0.044945000000000006,-0.016524999999999998
31.8108,0.4001,0.4654,0.043275,-0.016324999999999992
31.9122,0.3844,0.449,0.041670000000000006,-0.016149999999999998
32.015,0.3693,0.4331,0.04012,-0.015949999999999992
32.1124,0.3548,0.4178,0.03863,-0.01575
32.2128,0.3409,0.4031,0.037200000000000004,-0.015550000000000008
32.3112,0.3275,0.3889,0.035820000000000005,-0.015350000000000003
32.4124,0.3146,0.3752,0.03449,-0.015149999999999999
32.5111,0.3022,0.362,0.03321,-0.014949999999999991
32.611,0.2902,0.3493,0.031974999999999996,-0.014774999999999996
32.7111,0.2788,0.337,0.03079,-0.014550000000000007
32.8113,0.2677,0.3252,0.029645,-0.014374999999999999
32.9114,0.2571,0.3138,0.028545,-0.014175000000000007
33.0117,0.2469,0.3028,0.027485000000000006,-0.013975000000000003
33.1118,0.2371,0.2922,0.026465000000000002,-0.013775000000000003
33.2118,0.2277,0.282,0.025485000000000004,-0.01357499999999999
33.3117,0.2187,0.2721,0.024540000000000003,-0.013350000000000002
33.4112,0.21,0.2626,0.02363,-0.013150000000000002
33.5111,0.2016,0.2534,0.022750000000000003,-0.012950000000000003
33.6124,0.1935,0.2446,0.021905000000000004,-0.012775000000000002
33.7112,0.1858,0.2361,0.021095000000000003,-0.012575000000000003
33.8116,0.1784,0.2279,0.020315,-0.012374999999999999
33.9118,0.1713,0.2199,0.01956,-0.012150000000000001
34.0123,0.1644,0.2123,0.018835,-0.011975
34.1112,0.1578,0.2049,0.018135000000000002,-0.011775
34.2111,0.1515,0.1978,0.017465,-0.011575000000000002
34.3115,0.1454,0.1909,0.016815,-0.011374999999999996
34.4108,0.1395,0.1843,0.01619,-0.011199999999999995
34.5112,0.1339,0.178,0.015594999999999998,-0.011024999999999998
34.6114,0.1285,0.1718,0.015015,-0.010825000000000001
34.7111,0.1233,0.1659,0.01446,-0.010649999999999996
34.8113,0.1184,0.1601,0.013925,-0.010424999999999997
34.9114,0.1136,0.1546,0.01341,-0.010249999999999995
35.0115,0.109,0.1493,0.012915,-0.010074999999999997
35.1121,0.1046,0.1441,0.012435000000000002,-0.009875000000000002
35.2116,0.1003,0.1392,0.011975,-0.009724999999999998
35.3114,0.0963,0.1344,0.011535,-0.009524999999999999
35.4124,0.0924,0.1298,0.011110000000000002,-0.00935
35.5117,0.0886,0.1253,0.010695,-0.009174999999999999
35.6114,0.085,0.121,0.010300000000000002,-0.008999999999999998
35.7109,0.0815,0.1169,0.009920000000000002,-0.00885
35.8111,0.0782,0.1129,0.009555000000000001,-0.008674999999999999
35.9116,0.075,0.109,0.0092,-0.0085
