t,omega_R,omega_L,u,omega,x,y,psi
16.4107,2.9469,3.4245,0.31857,-0.1194,0.9898175355766196,0.5448587089864375,-1.5224140100000008
16.5105,3.0052,3.3294,0.31673,-0.08105,0.9901649507732871,0.5130449969031627,-1.534330130000001
16.6106,3.0369,3.2577,0.31473,-0.0551999999999999,0.9905100722712017,0.4813318228911525,-1.542443235000001
16.7113,3.0504,3.2014,0.31259,-0.03775,0.9908529146485224,0.4496354917780169,-1.548001875000001
16.8115,3.0514,3.1551,0.310325,-0.0259249999999999,0.9911886529191456,0.41831348918426603,-1.551784425000001
16.9109,3.0436,3.1152,0.30794,-0.0179,0.9915174165831502,0.3874678597845984,-1.5543613700000012
17.0114,3.0296,3.0793,0.305445,-0.012425,0.9918461515308505,0.35652111290118554,-1.5561603200000012
17.1102,3.0109,3.0457,0.30283,-0.0087,0.992165074825399,0.3263445824577856,-1.5573879100000012
17.2106,2.9886,3.0133,0.300095,-0.006175,0.9924853937359187,0.2959420123667209,-1.5582613900000013
17.3104,2.9636,2.9812,0.29724,-0.0043999999999999,0.9927991770976744,0.26599411177257604,-1.5588776550000014
17.4106,2.9363,2.949,0.294265,-0.0031749999999999,0.9931100629663725,0.23621225372951488,-1.5593185350000014
17.511,2.907,2.9164,0.29117,-0.0023499999999999,0.993417282865807,0.20666962791109844,-1.5596373050000014
17.6101,2.8761,2.8831,0.28796,-0.00175,0.9937159821156532,0.17781621758432456,-1.5598701900000014
17.711,2.8436,2.8489,0.284625,-0.001325,0.9940157800496885,0.14876259495214772,-1.5600467650000014
17.8105,2.8096,2.8138,0.28117,-0.0010499999999999,0.9943070208040378,0.12044390196201366,-1.5601786025000013
17.9105,2.7743,2.7776,0.277595,-0.0008249999999999,0.9945950543405839,0.09232837536314323,-1.5602836025000013
18.0108,2.7378,2.7405,0.273915,-0.0006749999999999,0.9948794781103663,0.06448704841576618,-1.5603663500000013
18.1109,2.7001,2.7023,0.27012,-0.00055,0.9951586949449935,0.03706957780482685,-1.5604339175000013
18.21,2.6612,2.6631,0.266215,-0.000475,0.9954306299885901,0.010302066528137751,-1.5604884225000013
18.3109,2.6213,2.6229,0.26221,-0.0003999999999999,0.9957027141710452,-0.01655764935241175,-1.5605363500000013
18.4105,2.5803,2.5818,0.258105,-0.000375,0.9959666764238256,-0.042672431655291526,-1.5605761900000013
18.5114,2.5384,2.5397,0.253905,-0.0003249999999999,0.996229049160297,-0.06871390473638164,-1.5606140275000013
18.6103,2.4955,2.4967,0.24961,-0.0003,0.9964815204585318,-0.09382384022048426,-1.5606461700000014
